comparison_mode,comparison_label,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,STEAM_0:1:224817525,enrique,18,1584.111111111111,7993.555555555556,1.09353507565337,44.166666666666664,40.388888888888886,16.5396350305688,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:39412,myth,4,1576.75,8105.75,1.3407407407407408,45.25,33.75,16.284533953008005,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:512155470,Lowla! (she/her),1,1568.0,3741.0,0.5806451612903226,18.0,31.0,29.534752307402524,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:7258560,[220]SLICK,4,1549.75,7786.5,1.352,42.25,31.25,16.599277011648145,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:104399409,coca!.ar,3,1502.0,6762.333333333333,0.9326923076923077,32.333333333333336,34.666666666666664,18.17448473359416,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:90069,hello? wheaties,0,0,0,0,0,0,0,16,1493.4375,9058.0,1.685466377440347,48.5625,28.8125,14.153877137593811,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:481409,rQ.MILOS,2,1458.0,5268.5,0.6909090909090909,19.0,27.5,21.675462722069426,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:1889956,relic,0,0,0,0,0,0,0,1,1452.0,8149.0,1.0,30.0,30.0,15.123424643266327,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:1:928287,rQ.Purple Goose,2,1447.5,5915.5,1.1296296296296295,30.5,27.0,19.65910634252343,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:5382099,lat,2,714.5,8617.5,2.2,38.5,17.5,7.656450921560223,4,725.75,9002.25,1.7209302325581395,37.0,21.5,7.4604235197368425,-50.0,-1.550120564932828,-4.27393151712072,27.83783783783785,4.054054054054054,-18.6046511627907,2.6275639888912816
equal_time,Equal Time,STEAM_0:1:700333,xanaxsoldier,7,1439.2857142857142,8581.142857142857,1.2697095435684647,43.714285714285715,34.42857142857143,14.363514534593616,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:69474624,bipps,1,1428.0,7792.0,1.4,42.0,30.0,15.488069414316703,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:0:645065,|FoE| u|tra$nip3r-AA-,2,1421.0,4436.5,1.0612244897959184,26.0,24.5,24.25949637217243,0,0,0,0,0,0,0,,,,,,,
equal_time,Equal Time,STEAM_0:1:5622,Doug,8,1412.5,7906.0,1.584070796460177,44.75,28.25,15.158018994473359,0,0,0,0,0,0,0,,,,,,,
